Date,BP
16-11-2021,5218
17-11-2021,5170
18-11-2021,5386
19-11-2021,5445
20-11-2021,5371
21-11-2021,4830
22-11-2021,4902
23-11-2021,5262
24-11-2021,5284
25-11-2021,5283
26-11-2021,5356
27-11-2021,5442
28-11-2021,5229
29-11-2021,4632
30-11-2021,4660
01-12-2021,4669
02-12-2021,4716
03-12-2021,5072
04-12-2021,4894
05-12-2021,5058
06-12-2021,4474
07-12-2021,4566
08-12-2021,4666
09-12-2021,4728
10-12-2021,4967
11-12-2021,5121
12-12-2021,4863
13-12-2021,4903
14-12-2021,4915
15-12-2021,5044
16-12-2021,4833
17-12-2021,4833
18-12-2021,5443
19-12-2021,5409
20-12-2021,5117
21-12-2021,4971
22-12-2021,5233
23-12-2021,5336
24-12-2021,5448
25-12-2021,5621
26-12-2021,5753
27-12-2021,5735
28-12-2021,5656
29-12-2021,5641
30-12-2021,5150
31-12-2021,4924
01-01-2022,5386
02-01-2022,5597
03-01-2022,5281
04-01-2022,5161
05-01-2022,5063
06-01-2022,4948
07-01-2022,5084
08-01-2022,5151
09-01-2022,5138
10-01-2022,4992
11-01-2022,5090
12-01-2022,4858
13-01-2022,4741
14-01-2022,5097
15-01-2022,5286
16-01-2022,4943
17-01-2022,5095
18-01-2022,4789
19-01-2022,4826
20-01-2022,5047
21-01-2022,4787
22-01-2022,4943
23-01-2022,5243
24-01-2022,5045
25-01-2022,5138
26-01-2022,5192
27-01-2022,5401
28-01-2022,5057
29-01-2022,5218
30-01-2022,5546
31-01-2022,5295
01-02-2022,5310
02-02-2022,5065
03-02-2022,5325
04-02-2022,5397
05-02-2022,5216
06-02-2022,5097
07-02-2022,4769
08-02-2022,4812
09-02-2022,4891
10-02-2022,4821
11-02-2022,4722
12-02-2022,4998
13-02-2022,4983
14-02-2022,5057
15-02-2022,4830
16-02-2022,4911
17-02-2022,5061
18-02-2022,5177
19-02-2022,5371
20-02-2022,5412
21-02-2022,5330
22-02-2022,4478
23-02-2022,4939
24-02-2022,4692
25-02-2022,5174
26-02-2022,5119
27-02-2022,5093
28-02-2022,5366
01-03-2022,5074
02-03-2022,0
03-03-2022,5115
04-03-2022,4855
05-03-2022,0
06-03-2022,5438
07-03-2022,5480
08-03-2022,5218
09-03-2022,5469
10-03-2022,5312
11-03-2022,5145
12-03-2022,4998
13-03-2022,5447
14-03-2022,5805
15-03-2022,5514
16-03-2022,5313
17-03-2022,5468
18-03-2022,5476
19-03-2022,5473
20-03-2022,5239
21-03-2022,5274
22-03-2022,4875
23-03-2022,4970
24-03-2022,4970
25-03-2022,5334
26-03-2022,5553
27-03-2022,5787
28-03-2022,5651
29-03-2022,5310
30-03-2022,5549
31-03-2022,5381
01-04-2022,5503
02-04-2022,5674
03-04-2022,5366
04-04-2022,5416
05-04-2022,5471
06-04-2022,5523
07-04-2022,5213
08-04-2022,5441
09-04-2022,5769
10-04-2022,5921
11-04-2022,5773
12-04-2022,5701
13-04-2022,5799
14-04-2022,5856
15-04-2022,5784
16-04-2022,6078
17-04-2022,6610
18-04-2022,6294
19-04-2022,5887
20-04-2022,6010
21-04-2022,5520
22-04-2022,5551
23-04-2022,5869
24-04-2022,6003
25-04-2022,6291
26-04-2022,6108
27-04-2022,6031
28-04-2022,6121
29-04-2022,5902
30-04-2022,6287
01-05-2022,6668
02-05-2022,7204
03-05-2022,7677
04-05-2022,7634
05-05-2022,7272
06-05-2022,7235
07-05-2022,7123
08-05-2022,6941
09-05-2022,7030
10-05-2022,6688
11-05-2022,6627
12-05-2022,6472
13-05-2022,6581
14-05-2022,6665
15-05-2022,6825
16-05-2022,7069
17-05-2022,6652
18-05-2022,6712
19-05-2022,6625
20-05-2022,6560
21-05-2022,6723
22-05-2022,6834
23-05-2022,6865
24-05-2022,6665
25-05-2022,6759
